"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"REST API Regression Testing using TestNG","Verify CRUID Operations on User module","GET Request with Valid User","0","0","1","0","0"
"REST API Regression Testing using TestNG","Verify CRUID Operations on User module","POST Request","0","0","1","0","0"
