"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 18 09:37:14 GMT 2023","Mon Dec 18 09:37:15 GMT 2023","457","Suite1","TestNG Test Demo","org.example.RestAPI_Tests","org.example.RestAPI_Tests","createUser","To create a new user","Test Description : Verify the creation of a new user"
"passed","Mon Dec 18 09:37:11 GMT 2023","Mon Dec 18 09:37:14 GMT 2023","3250","Suite1","TestNG Test Demo","org.example.RestAPI_Tests","org.example.RestAPI_Tests","verifyUser","To get the details of user with id 3","Test Description : Verify the details of user of id-3"
